chunk_id,text,source_type,topic,document_index,chunk_index,total_chunks,word_count,original_doc_id,title,year,authors
synthetic_19_0,"Diabetes - Patient Guide    Living with diabetes Managing diabetes involves lifestyle modifications, medication adherence, and regular monitoring.     Key Management Strategies Focus on blood glucose monitoring, carbohydrate counting, medication management, and complication prevention.     Important Considerations - Always consult with your healthcare provider before making changes to your treatment plan - Individual responses to treatments may vary - Regular monitoring and follow-up are crucial  This is educational content and not a substitute for professional medical advice.",synthetic_mock,diabetes,0,0,1,74,synthetic_19,Diabetes - Patient Guide,,
synthetic_23_0,"Diabetes - Faq    diabetes: Questions and Answers Addressing common patient concerns about diabetes treatment and management.     Key Management Strategies Focus on blood glucose monitoring, carbohydrate counting, medication management, and complication prevention.     Important Considerations - Always consult with your healthcare provider before making changes to your treatment plan - Individual responses to treatments may vary - Regular monitoring and follow-up are crucial  This is educational content and not a substitute for professional medical advice.",synthetic_mock,diabetes,1,0,1,73,synthetic_23,Diabetes - Faq,,
synthetic_2_0,Patients - Research Synopsis    Recent Advances in patients Research New studies show promising developments in patients treatment and understanding.     Key Management Strategies Regular follow-up with healthcare providers is essential for optimal management.     Important Considerations - Always consult with your healthcare provider before making changes to your treatment plan - Individual responses to treatments may vary - Regular monitoring and follow-up are crucial  This is educational content and not a substitute for professional medical advice.,synthetic_mock,patients,2,0,1,74,synthetic_2,Patients - Research Synopsis,,
pubmed_41492600_0,"Secondary hyperparathyroidism (SHPT) is a frequent complication in patients with end-stage renal disease (ESRD) undergoing hemodialysis. It results from imbalances in calcium, phosphate, and vitamin D metabolism due to impaired renal function. Burden of Secondary Hyperparathyroidism Among Patients on Hemodialysis: A Cross-Sectional Study.",pubmed,dialysis duration,3,0,1,43,pubmed_41492600,Burden of Secondary Hyperparathyroidism Among Patients on Hemodialysis: A Cross-Sectional Study.,,"Muhammad Ikram, Hayat Ullah, Muhammad Ayaz"
pubmed_41492196_0,"There is growing evidence that personalisation of hypertension treatment leads to better blood pressure control. This review will explore current evidence for individualised treatment of hypertension, and application of this in future guidelines. Hypertension guidelines need to be patient oriented.",pubmed,clinical guidelines,4,0,1,40,pubmed_41492196,Hypertension guidelines need to be patient oriented.,,"Nayanatara Nadeesha Tantirige, Joanna M Gray, Ian B Wilkinson"
pubmed_41476293_0,"Outcomes for patients with esophageal squamous cell carcinoma (ESCC) remain poor, partly due to treatment resistance, particularly to DNA-damaging therapies. Poly(ADP ribose) polymerase 1 (PARP1) plays a critical role in repairing single strand DNA breaks (SSBs). Unrepaired SSBs can be converted into double strand breaks (DSBs) during DNA replication, potentially leading to cell death. Genomic amplification of the distal portion of chromosome 3q (3q26-q29) is a frequent copy number alteration in ESCC, which harbors genes encoding several oncoproteins. However, whether long noncoding RNAs (lncRNAs) from this region contribute to ESCC pathogenesis and treatment resistance remains poorly understood. The lncRNA PARylator promotes PARP1 activation and resistance to DNA damaging therapy in esophageal squamous cell carcinoma.",pubmed,DNA repair,5,0,1,114,pubmed_41476293,The lncRNA PARylator promotes PARP1 activation and resistance to DNA‑damaging therapy in esophageal squamous cell carcinoma.,,"Teng Fei Qi, Yadong Liu, Jinkun Yang"
synthetic_15_0,"Diabetes - Faq    diabetes: Questions and Answers Addressing common patient concerns about diabetes treatment and management.     Key Management Strategies Focus on blood glucose monitoring, carbohydrate counting, medication management, and complication prevention.     Important Considerations - Always consult with your healthcare provider before making changes to your treatment plan - Individual responses to treatments may vary - Regular monitoring and follow-up are crucial  This is educational content and not a substitute for professional medical advice.",synthetic_mock,diabetes,6,0,1,73,synthetic_15,Diabetes - Faq,,
trial_NCT05004428_0,"A Study to Learn More About Chronic Kidney Disease (CKD) in Patients With Type 2 Diabetes Mellitus (T2DM) In this observational study, data from the recent past of patients with type 2 diabetes mellitus and chronic kidney disease will be studied. Type 2 diabetes mellitus (T2DM) is a condition in which the body does not make enough of a hormone called insulin or does not use insulin well. This results in high blood sugar levels. About half of people with T2DM also have a condition called chronic kidney disease (CKD). In people with CKD, the kidneys' ability to work as how it should decreases over time. In this study, researchers want to learn more about the CKD in T2DM patients in Alberta, Canada. This will help them to know the chances to improve the care of these patients. The researchers will look at the health information from adult men and women in Alberta who were diagnosed with T2DM before 2018 and visited a doctor to have check-ups in 2018. They will find out about how many of these people had CKD and how severe their CKD was. The researchers will collect data about the age and gender of these patients, how long they had T2DM and if they had other related medical problems. The researchers will also learn how these patients were treated based on their kidney condition and how much money was spent on these treatments. This study will collect information from the health records of about 270,000 patients with T2DM who were living in Alberta, Canada. This information will come from the Alberta Kidney Disease Network (AKDN) database. Besides this data collection, no further tests or examinations are planned in this study.",clinicaltrials.gov,Type 2 Diabetes Mellitus,7,0,1,284,trial_NCT05004428,A Study to Learn More About Chronic Kidney Disease (CKD) in Patients With Type 2 Diabetes Mellitus (T2DM),,
trial_NCT00063128_0,Safety and Efficacy of Human Insulin Inhalation Powder in Patients With Type 1 Diabetes Mellitus. This is a research study of a study drug known as LY041001 or human insulin inhalation powder (HIIP). HIIP is a powder form of insulin made to be inhaled through the mouth and into the lungs using a special handheld device.,clinicaltrials.gov,"Diabetes Mellitus, Type 1",8,0,1,56,trial_NCT00063128,Safety and Efficacy of Human Insulin Inhalation Powder in Patients With Type 1 Diabetes Mellitus.,,
trial_NCT04856800_0,"Pre-meal Consumption of Whey in Gestational Diabetes Mellitus From Diagnosis to Delivery The main objective of the study is to investigate the metabolic effects of whey protein (whey protein isolate, WPI, (Lacprodan  ISO.Water. from Arla Foods Ingredients) compared with placebo when consumed by women with gestational diabetes mellitus (GDM) from diagnosis (around gestational week 28) to delivery. Any changes in substrate metabolism and energy expenditure using indirect calorimetry will also be investigated. Differences in hunger and satiety parameters as well as blood pressure and gestational weight gain will also be assessed. Furthermore, analysis on the glucose response when the women consume the intervention (whey or placebo) at home in their own environment 30 minutes before breakfast at time of diagnosis (earliest week 28) and week 36 (four days following each time point) will be made. The women will be monitored with continuous glucose monitors, activity monitors and all meals will be provided for two days following the study days in the laboratory. At delivery cord blood will be sampled for analysis on metabolic parameters and investigations on epigenetics DNA methylations. Complications to the delivery, neonatal outcomes, anthropometrics of the child will also be assessed. Breast milk composition will also be analyzed.",clinicaltrials.gov,Gestational Diabetes,9,0,1,201,trial_NCT04856800,Pre-meal Consumption of Whey in Gestational Diabetes Mellitus From Diagnosis to Delivery,,
